126 3883
0 1 4145
0 2 6195
0 3 4730
0 4 7938
0 6 207
0 8 4909
0 10 2339
0 11 7136
0 12 5755
0 13 2428
0 14 1089
0 15 2840
0 16 180
0 18 3880
0 19 6107
0 20 128
0 22 5438
0 23 7613
0 25 7208
0 28 1950
0 31 7323
0 33 8579
0 37 3069
0 38 259
0 45 1590
0 47 3358
0 48 9103
0 50 1209
0 54 8586
0 55 4261
0 56 8481
0 57 2341
0 58 1720
0 60 3969
0 61 4894
0 62 8263
0 64 4429
0 65 5296
0 66 1425
0 74 4265
0 75 7195
0 76 9838
0 78 8174
0 80 2827
0 81 6422
0 82 8353
0 83 1778
0 84 3084
0 85 298
0 86 334
0 87 8303
0 88 6614
0 89 7906
0 90 94
0 91 3596
0 92 1135
0 93 4851
0 95 4101
0 97 5948
0 99 456
0 100 7626
0 102 8134
0 103 7583
0 107 9823
0 110 3420
0 111 4259
0 112 8239
0 114 9645
0 117 7817
0 121 4784
0 122 3264
1 3 8804
1 4 4202
1 5 4657
1 7 4028
1 12 7952
1 14 8683
1 18 170
1 21 4841
1 23 9706
1 24 7422
1 26 7967
1 27 9932
1 28 6373
1 30 4811
1 31 7926
1 32 7236
1 35 334
1 37 6344
1 38 6483
1 39 8600
1 45 1452
1 48 574
1 51 3956
1 52 2996
1 53 8318
1 55 1066
1 60 6022
1 62 6695
1 63 1347
1 65 1768
1 67 3323
1 68 2496
1 70 1030
1 73 6325
1 75 2010
1 76 4854
1 79 7653
1 81 6487
1 83 5010
1 84 941
1 86 8638
1 88 2592
1 89 6383
1 90 3090
1 93 3976
1 95 6127
1 96 8046
1 98 319
1 102 8450
1 104 6947
1 105 5077
1 108 2939
1 109 9420
1 111 4169
1 114 6894
1 116 1337
1 120 7675
1 123 6966
1 124 3647
2 3 457
2 4 5584
2 5 4293
2 6 1506
2 7 5726
2 9 7524
2 10 2682
2 11 4629
2 16 911
2 18 8072
2 19 1627
2 20 5714
2 21 1411
2 23 8846
2 24 8425
2 26 286
2 28 6496
2 30 3355
2 33 916
2 34 735
2 35 2345
2 36 6004
2 37 8278
2 38 8134
2 39 7150
2 41 2382
2 43 3523
2 46 6723
2 50 8965
2 51 7833
2 52 2799
2 53 5355
2 56 2232
2 57 2787
2 58 5246
2 59 1009
2 60 9093
2 61 7807
2 63 7672
2 65 7652
2 67 6832
2 68 2961
2 69 6817
2 72 6190
2 73 4635
2 76 8816
2 78 9964
2 79 7426
2 81 2348
2 85 6108
2 86 1538
2 89 7389
2 90 3593
2 91 8307
2 93 8541
2 95 2585
2 96 37
2 97 7491
2 98 5472
2 101 3629
2 102 6344
2 103 8754
2 104 7435
2 106 3256
2 110 616
2 111 6543
2 113 2123
2 114 8404
2 115 9414
2 116 8771
2 119 5987
2 120 5243
2 122 5199
2 123 948
3 8 5573
3 9 7366
3 11 972
3 16 6696
3 18 8683
3 19 3644
3 22 760
3 25 6110
3 26 5786
3 29 5151
3 31 1539
3 32 1901
3 33 3797
3 35 4529
3 38 7992
3 39 5508
3 45 5297
3 46 6088
3 49 6886
3 51 7143
3 52 7508
3 53 3502
3 54 4516
3 55 2787
3 59 7888
3 62 6221
3 67 2460
3 68 242
3 69 6292
3 70 1470
3 71 1244
3 76 8105
3 79 1220
3 80 9324
3 81 4471
3 84 1449
3 86 9322
3 87 4143
3 88 9403
3 91 4604
3 92 4490
3 94 9232
3 98 6707
3 99 8866
3 102 5787
3 103 2916
3 104 5172
3 105 3027
