194 9355
0 1 1400
0 2 2663
0 3 1452
0 4 6473
0 6 4898
0 8 6460
0 10 750
0 11 7679
0 12 1279
0 13 1234
0 14 7134
0 15 8222
0 16 1903
0 18 8158
0 19 8834
0 20 1589
0 22 1349
0 23 3874
0 25 9164
0 28 2036
0 31 7238
0 33 2542
0 37 6553
0 38 996
0 45 9149
0 47 4419
0 48 7268
0 50 1322
0 54 3717
0 55 5868
0 56 9795
0 57 5147
0 58 1596
0 60 0
0 61 7678
0 62 5316
0 64 664
0 65 8008
0 66 8863
0 74 3068
0 75 1540
0 76 7051
0 78 5093
0 80 4359
0 81 1050
0 82 872
0 83 9367
0 84 5856
0 85 1111
0 86 1405
0 87 3498
0 88 6014
0 89 1500
0 90 7150
0 91 8416
0 92 8107
0 93 4202
0 95 4154
0 97 1702
0 99 8247
0 100 498
0 102 2952
0 103 3219
0 107 3380
0 110 3623
0 111 247
0 112 465
0 114 5078
0 117 830
0 121 7192
0 122 5073
0 127 3822
0 128 7316
0 129 4622
0 131 3651
0 136 5865
0 138 3687
0 142 306
0 145 7887
0 147 476
0 148 2692
0 150 6746
0 151 3228
0 152 4426
0 154 8501
0 155 94
0 156 6367
0 159 2462
0 161 1343
0 162 9640
0 163 161
0 169 8601
0 172 1997
0 175 4045
0 176 5656
0 177 1860
0 179 2312
0 184 9650
0 186 7992
0 187 466
0 189 2760
0 191 3175
0 192 4581
1 2 4555
1 5 5702
1 7 1089
1 8 6789
1 11 97
1 13 5979
1 15 752
1 16 7221
1 18 2637
1 20 3313
1 21 804
1 22 2343
1 25 2442
1 27 5830
1 28 6420
1 30 7763
1 34 3428
1 36 3725
1 37 5027
1 40 674
1 41 4431
1 43 6544
1 46 3326
1 48 1752
1 52 6316
1 55 7792
1 56 2424
1 58 9458
1 59 100
1 60 9519
1 61 4711
1 62 2225
1 64 7573
1 65 1182
1 66 2354
1 71 5816
1 73 568
1 74 9262
1 75 4816
1 76 8168
1 78 462
1 79 4085
1 81 4409
1 83 4801
1 85 4376
1 88 5260
1 89 2397
1 90 5217
1 91 8660
1 92 4694
1 93 6633
1 94 5887
1 96 4495
1 98 1038
1 101 9376
1 105 6499
1 106 619
1 107 1536
1 108 4800
1 111 5275
1 112 9714
1 113 8452
1 114 4813
1 115 2771
1 116 2189
1 118 2735
1 120 739
1 122 3992
1 123 6974
1 124 9835
1 127 6482
1 128 6499
1 131 6296
1 133 4301
1 134 9255
1 136 5465
1 140 2422
1 141 2539
1 144 3454
1 145 8124
1 146 6820
1 148 1887
1 150 3699
1 151 8708
1 152 7723
1 153 3217
1 156 5759
1 157 3104
1 158 3753
1 159 7683
1 161 4279
1 165 5936
1 166 7191
1 168 6675
1 169 743
1 170 6026
1 171 5335
1 174 9982
1 175 6350
1 177 695
1 178 1322
1 185 2503
1 186 6039
1 188 1114
1 193 4785
2 4 4325
2 5 9192
2 8 6498
2 11 7371
2 12 6628
2 15 1597
2 17 7249
2 18 1389
2 19 8359
2 21 3622
2 24 3715
2 25 4394
2 31 2886
2 32 5519
2 35 3582
2 37 4200
2 38 1765
2 39 456
2 40 2490
2 41 5718
2 45 7859
2 48 8522
2 53 7615
2 54 166
2 55 4629
2 56 3673
2 57 3929
2 62 490
2 65 1468
2 66 1307
2 67 3238
2 70 518
2 72 2183
2 73 473
2 74 9054
2 77 8843
2 78 8798
2 80 1768
2 84 1725
2 85 3675
2 88 255
2 89 1595
2 90 1854
2 91 3177
2 93 5195
2 94 7225
2 95 1710
2 98 8500
2 102 6427
2 104 5247
2 107 8447
2 109 5332
2 112 9264
2 113 5393
2 115 9936
2 116 4327
2 118 4996
2 120 3495
2 126 9852
2 127 9765
2 131 5332
2 132 5744
2 133 5357
2 135 8109
2 138 5883
2 139 4527
2 140 4871
2 141 6569
2 142 2703
2 150 5975
2 154 6218
2 158 2325
2 159 9861
2 161 2612
2 163 9797
2 168 9871
2 169 9100
2 170 6972
2 172 7541
2 173 9174
2 174 9894
2 175 1594
2 176 4507
2 178 8393
2 184 7005
2 186 6890
2 189 6514
2 192 3674
3 6 7136
3 7 4021
3 8 678
3 13 7892
3 15 3495
3 17 6819
3 20 5643
3 22 8313
3 24 6171
3 27 8525
3 28 4364
3 29 5090
3 32 6339
3 33 3544
3 35 4127
3 36 3631
3 41 1765
3 42 8060
3 43 8002
3 45 560
3 55 5644
3 56 8131
3 57 3106
3 60 5982
3 62 1271
3 64 586
3 66 1537
3 67 7747
3 68 2307
3 69 5426
3 70 7131
3 73 6160
3 74 850
3 75 1405
3 77 7538
3 78 5693
3 79 9950
3 80 6260
3 81 5988
3 82 4941
3 83 62
3 84 6917
3 86 2432
3 87 6989
3 89 585
3 90 819
3 92 4892
3 96 5470
3 97 1265
3 98 7932
3 99 1323
3 102 7942
3 105 1544
3 106 9731
3 108 383
3 109 8204
3 111 1377
3 112 710
3 113 7851
3 115 5822
3 117 3761
3 122 3185
3 123 2198
3 124 6418
3 125 7951
3 126 3609
3 128 5623
3 129 3349
3 130 5892
3 132 6643
3 134 6115
3 136 4632
3 137 3970
3 138 3414
3 139 6905
3 142 6153
3 145 8654
3 146 8919
3 149 7887
3 153 6924
3 156 9016
3 158 1470
3 159 1592
3 160 6364
3 161 3395
3 163 7171
3 164 3659
3 166 8184
3 169 6483
3 170 9079
3 171 3822
3 172 2169
3 174 4092
3 176 9308
3 181 1342
3 182 4822
3 183 2918
3 185 1925
3 186 1311
3 187 7118
3 188 6885
3 189 2185
3 191 5349
3 192 2060
4 5 3446
4 8 9153
4 9 379
4 11 9816
4 17 7489
4 18 1493
4 21 6321
4 22 6373
4 29 6794
4 31 6679
4 33 9390
4 34 7276
4 35 2000
4 36 2785
4 40 5566
4 42 6382
4 46 8620
4 47 4686
4 49 3902
4 53 5869
4 55 6011
4 58 1299
4 59 381
4 61 3318
4 62 7241
4 65 6797
4 66 2474
4 67 5571
4 69 6864
4 70 3300
4 72 8583
4 73 4583
4 75 8080
4 76 9809
4 78 396
4 80 9237
4 81 1864
4 83 30
4 84 7277
4 85 2145
4 86 5131
4 87 697
4 89 3540
4 90 7760
4 91 8947
4 95 5281
4 96 3099
4 97 9304
4 101 4853
4 104 3842
4 107 5914
4 109 621
4 111 7920
4 113 885
4 116 3825
4 118 9947
4 119 3238
4 120 2222
4 121 4323
4 122 2338
4 125 681
4 127 6921
4 128 3871
4 129 1328
4 130 8215
4 131 5863
4 132 4410
4 135 4858
4 136 9511
4 137 7482
4 140 6144
4 141 1819
4 142 8501
4 144 5173
4 147 1804
4 148 3090
4 149 8587
4 150 9329
4 151 9061
4 152 864
4 153 8623
4 159 8673
4 160 1272
4 161 8013
4 163 5088
4 165 7920
4 167 9946
4 169 1995
4 170 6279
4 172 4072
4 175 6121
4 179 3991
4 181 6675
4 183 6351
4 184 7803
4 185 4430
4 189 892
4 190 6539
4 191 743
4 193 9052
5 9 8725
5 13 8013
5 14 1654
5 17 8639
5 18 7116
5 19 5533
5 21 4327
5 22 3386
5 26 917
5 28 2198
5 30 6569
5 31 9746
5 32 7689
5 33 1446
5 37 6109
5 38 8435
5 39 7505
5 40 8421
5 41 429
5 42 8832
5 44 4056
5 45 6978
5 46 8471
5 48 4911
5 51 8697
5 58 5889
5 60 4486
5 61 1040
5 62 1908
5 66 1152
5 71 768
5 72 4063
5 73 2761
5 76 9893
5 82 4178
5 83 9100
5 85 2542
5 86 2657
5 88 5601
5 89 6303
5 90 9723
5 91 1887
5 92 8240
5 93 4473
5 94 9251
5 95 7704
5 96 1112
5 97 689
5 98 6763
5 99 4664
5 104 7448
5 105 4531
5 106 4732
5 108 8235
5 111 3639
5 112 8150
5 115 2383
5 116 4660
5 117 8627
5 119 3472
5 121 3952
5 122 4090
5 124 4079
5 125 1362
5 127 7599
5 129 6843
5 130 1682
5 132 4469
5 137 3385
5 141 6475
5 142 2094
5 143 3440
5 145 3761
5 146 7516
5 148 646
5 152 6689
5 157 5323
5 165 9513
5 167 804
5 169 9173
5 171 6329
5 174 2057
5 175 6564
5 176 1000
5 177 5479
5 182 7755
5 189 1045
5 190 4881
5 191 7584
5 193 3901
6 7 7970
6 9 2776
6 10 6337
6 12 7907
6 16 2984
6 21 2972
6 23 7276
6 25 5953
6 27 406
6 30 3657
6 32 8071
6 36 7347
6 37 3724
6 39 2326
6 40 8475
6 43 8162
6 45 7962
6 48 1858
6 50 914
6 52 5924
6 53 8288
6 54 2909
6 58 4542
6 59 9593
6 60 2137
6 61 9192
6 62 6016
6 66 582
6 68 7977
6 70 8148
6 71 1637
6 72 1181
6 73 8163
6 75 2007
6 79 2820
6 81 8653
6 83 6739
6 89 7534
6 90 2319
6 91 1304
6 93 4130
6 94 5132
6 100 2948
6 101 443
6 102 449
6 103 5844
6 108 2708
6 109 2458
6 110 3517
6 111 7394
6 114 7960
6 116 2620
6 121 8117
6 124 5433
6 125 2002
6 126 9512
6 130 3045
6 131 967
6 132 4879
6 133 6803
6 134 6281
6 139 1517
6 141 5417
6 142 1586
6 144 6030
6 151 6568
6 152 7273
6 153 9977
6 156 2721
6 158 9077
6 159 4456
6 165 9536
6 166 6318
6 169 3235
6 170 3308
6 171 3024
6 172 1366
6 174 421
6 176 5955
6 184 7536
6 190 9618
6 192 435
7 8 8006
7 9 3627
7 10 3671
7 13 804
7 16 7282
7 17 4653
7 22 6354
7 23 2943
7 24 6971
7 25 7946
7 26 4102
7 31 3873
7 37 3319
7 38 3448
7 39 9034
7 40 6314
7 44 9406
7 47 6004
7 48 5107
7 49 5551
7 51 3215
7 52 2046
7 54 6630
7 55 9056
7 57 5070
7 58 7316
7 59 2474
7 61 782
7 64 3656
7 67 53
7 69 8903
7 71 9556
7 74 3462
7 80 3600
7 81 6152
7 84 4
7 85 4718
7 86 2528
7 93 6198
7 95 2841
7 96 929
7 97 2244
7 98 7442
7 99 9454
7 100 3616
7 102 1272
7 103 990
7 106 5661
7 107 8349
7 110 9764
7 113 749
7 115 269
7 118 4224
7 120 9280
7 124 6833
7 125 2282
7 128 5130
7 129 7703
7 130 1558
7 131 4039
7 132 9178
7 133 8037
7 137 6096
7 140 7272
7 142 6355
7 143 1817
7 147 1405
7 148 2744
7 149 9832
7 151 9343
7 152 5191
7 154 8514
7 157 8151
7 158 914
7 159 6884
7 160 965
7 162 7173
7 163 3244
7 164 9061
7 165 3114
7 167 1674
7 169 9370
7 171 8215
7 172 653
7 173 4554
7 177 5931
7 178 1978
7 181 5083
7 182 4224
7 184 8942
7 185 2362
7 186 292
7 187 957
7 189 5886
7 190 8453
7 191 1961
7 193 2135
8 10 2171
8 11 9139
8 12 6758
8 14 2862
8 15 9203
8 16 6167
8 17 1300
8 18 7647
8 25 4101
8 26 6166
8 28 2621
8 29 4586
8 30 1323
8 31 7736
8 32 1402
8 33 4941
8 34 3162
8 37 665
8 40 8392
8 42 9440
8 45 1725
8 47 1659
8 48 7759
8 49 2209
8 51 2549
8 53 3181
8 56 7820
8 57 1387
8 60 2055
8 62 596
8 65 3917
8 67 1960
8 68 2093
8 69 7195
8 71 1441
8 72 8582
8 74 4477
8 75 9281
8 77 5214
8 78 2040
8 80 6004
8 81 3989
8 82 8933
8 84 2898
8 85 511
8 86 5255
8 87 5612
8 88 9461
8 90 883
8 92 5586
8 98 7170
8 102 4020
8 106 7820
8 108 7547
8 110 6615
8 111 6925
8 112 113
8 113 1127
8 114 2380
8 116 9084
8 118 349
8 121 2522
8 123 9015
8 126 4558
8 129 7776
8 130 7359
8 132 12
8 137 6263
8 139 211
8 140 4681
8 145 3224
8 146 9880
8 147 6119
8 152 554
8 153 515
8 154 2507
8 155 6428
8 156 2351
8 157 9889
8 158 3080
8 159 7978
8 161 915
8 163 6373
8 166 3379
8 168 1040
8 170 2903
8 174 3866
8 175 8098
8 177 4315
8 179 482
8 180 8186
8 181 8203
8 183 6952
8 184 3939
8 187 9919
9 13 1332
9 15 5534
9 19 5582
9 20 2578
9 21 7438
9 25 8891
9 26 9148
9 27 1362
9 28 4095
9 30 4523
9 31 6893
9 34 6970
9 35 7735
9 36 772
9 37 1359
9 38 4051
9 39 2957
9 40 139
9 41 3463
9 43 3656
9 44 89
9 45 5672
9 46 3624
