134 4413
0 1 8447
0 2 3084
0 3 5854
0 4 9852
0 6 8368
0 8 9793
0 10 5778
0 11 9258
0 12 6230
0 13 2554
0 14 2053
0 15 2342
0 16 4106
0 18 426
0 19 9335
0 20 5950
0 22 4514
0 23 3958
0 25 4368
0 28 7567
0 31 7411
0 33 8779
0 37 361
0 38 9478
0 45 3264
0 47 3648
0 48 1296
0 50 865
0 54 5233
0 55 8143
0 56 9782
0 57 8805
0 58 7394
0 60 4851
0 61 1160
0 62 6873
0 64 7418
0 65 8265
0 66 179
0 74 4275
0 75 3489
0 76 5244
0 78 2420
0 80 2390
0 81 5758
0 82 7465
0 83 9173
0 84 5185
0 85 4708
0 86 8612
0 87 3194
0 88 6948
0 89 4593
0 90 1329
0 91 2971
0 92 1986
0 93 2346
0 95 2316
0 97 367
0 99 6659
0 100 8323
0 102 1546
0 103 8617
0 107 6834
0 110 2799
0 111 7438
0 112 4158
0 114 7247
0 117 1134
0 121 1594
0 122 9257
0 127 8619
0 128 4214
0 129 3110
0 131 4228
1 4 2219
1 6 8072
1 10 7509
1 13 7977
1 15 2621
1 16 8309
1 18 2079
1 19 1196
1 20 1490
1 22 5936
1 23 3238
1 24 4679
1 27 7607
1 29 211
1 30 5404
1 31 72
1 37 509
1 40 2847
1 43 8312
1 44 3045
1 45 8307
1 47 9963
1 52 9517
1 54 7311
1 55 6135
1 57 2071
1 59 7436
1 60 3429
1 62 8269
1 65 897
1 67 7026
1 68 9243
1 71 4938
1 73 6464
1 75 270
1 76 9201
1 78 4146
1 80 9388
1 81 2928
1 82 100
1 85 2845
1 87 9237
1 88 504
1 90 2931
1 94 5481
1 96 8979
1 97 6076
1 100 2278
1 101 2195
1 103 4960
1 106 3195
1 108 523
1 112 7197
1 115 9538
1 116 8480
1 118 9497
1 119 8135
1 120 9000
1 121 5932
1 122 9037
1 124 5790
1 125 233
1 126 3543
1 131 755
1 133 4799
2 3 217
2 4 6807
2 5 6922
2 7 7316
2 8 1119
2 10 6280
2 12 538
2 14 6071
2 17 9097
2 18 9471
2 19 4113
2 20 3634
2 21 5155
2 22 2006
2 23 4859
2 25 5885
2 27 2589
2 30 4356
2 34 8166
2 35 7449
2 36 8525
2 37 5747
2 40 9963
2 41 8047
2 42 2122
2 43 6875
2 44 2994
2 45 8273
2 47 3420
2 49 2808
2 51 8432
2 52 6328
2 53 3283
2 56 4591
2 57 1997
2 60 8600
2 62 2727
2 63 8006
2 65 9883
2 69 9222
2 70 1107
2 73 9459
2 74 5199
2 75 4902
2 77 88
2 79 1669
2 80 1124
2 81 7709
2 82 553
2 85 7514
2 86 4767
2 87 4254
2 88 1903
2 90 6140
2 94 7140
2 95 9679
2 97 4138
2 98 2955
2 99 1441
2 100 651
2 103 3514
2 104 4563
2 106 9177
2 107 833
2 114 859
2 115 3486
2 117 5879
2 122 5305
2 124 7986
2 125 4736
2 128 4356
2 131 1066
2 132 8798
3 5 8209
3 7 924
3 8 6686
3 9 1250
3 11 2912
3 14 1709
3 15 6015
3 21 7538
3 22 2084
3 25 9275
3 27 1789
3 28 5019
3 29 8668
3 30 7950
3 31 7911
3 35 5835
3 38 6955
3 43 6165
3 44 283
3 45 2965
3 46 1288
3 47 8306
3 52 3115
3 55 6669
3 56 5782
3 57 3940
3 60 5083
3 62 3035
3 63 5438
3 64 5639
3 67 8209
3 68 9793
3 70 9580
3 74 1969
3 75 3127
3 78 592
3 79 8180
3 80 4943
3 81 8959
3 83 9631
3 84 5548
3 85 9703
3 88 1437
3 92 2433
3 94 1104
3 97 2028
3 99 1340
3 102 7534
3 103 7557
3 105 1914
3 106 4900
3 108 6879
3 110 2949
3 116 8496
3 117 816
3 121 9190
3 122 8102
3 123 9705
3 125 881
3 128 2287
3 129 6370
3 130 8306
3 131 9895
3 132 9204
4 11 9630
4 15 204
4 19 1337
4 20 1549
4 22 8878
4 24 8518
4 29 2509
4 30 1188
4 31 8658
4 33 7494
4 34 6382
4 35 1977
4 36 5151
4 37 655
4 39 6920
4 45 4451
4 47 6927
4 50 1716
4 53 4440
4 57 6496
4 58 4335
4 59 475
4 64 28
4 66 7799
4 68 1594
4 71 5842
4 73 6848
4 75 4468
4 78 1519
4 79 4931
4 80 6804
4 83 1630
4 84 3063
4 86 6083
